"id","profileName","text","date","title","rating","images","helpful","Configuration"
"R3EUSNDMBJK2X2"," kushal kumar","I am useing Sony bx32 modal tv(2012) it have 2 HDMI Port . But fire tv stick is not supporting to my tv, not working properly & getting display issues. so don't buy for Sony TV's","Reviewed in India on 9 May 2021","NOT supporting to SONY TV'S",1,"https://images-na.ssl-images-amazon.com/images/I/81YYOTIzi3L.jpg
https://images-na.ssl-images-amazon.com/images/I/B19aZ-hp4gS.jpg","290","Fire TV Stick"
"R1WACJL2O37SWG","Ishpreet Singh","Everything is great but i bought it for 3999/- and after 2 days price was 3199/- which hurts me alot 800/- rs loss. Being a prime customer i am very unhappy with the massive price drop.","Reviewed in India on 17 June 2021","Working good but disappointed with price drop",2,"https://images-na.ssl-images-amazon.com/images/I/91-wKGgOUML.jpg","276","Fire TV Stick"
"R21CJ1BDI98AH9","Sudharsan A","Product works well upto 1year... Then u need to buy new one only... No choice because.... I bought this product for Rs. 2799 in offer after a year my remote stopped working, if you put new battery it will dry in 3 days itself.. so I want to buy new remote....  New remote only cost Rs. 2000... It's a cheating .... Other brand like mi gives cheaper remote...","Reviewed in India on 21 June 2021","Worst remote ever... Replacement of remote is too costly",1,"","129","Fire TV Stick"
"R3Q6IHW1DEAMK","Priyank Agrawal","There is no customer support or details available on which TVs it is not compatible with. And guess what it is not returnable as well, got my 4000 bucks wasted. I bought this after watching so many positive reviews but feel so sad now about this","Reviewed in India on 20 June 2021","Not compatible with my Sony LED TV",1,"","108","Fire TV Stick"
"R3DARG068E5AKX","Suryatej","In the product description it says 'Made in India' but on the package box it says that it is from China .This is very misleading","Reviewed in India on 24 July 2021","Made in China",3,"https://m.media-amazon.com/images/I/B1+yXJ+1uoS.jpg","71","Fire TV Stick"
"R24VQBAKKX8WCC","Pradeep handa"," The system ui interface  totally changed,Grey Icon(missing icon) on side loaded apps""See All"" tab MissingUpdate didn't fix anything...I thought I've got a defective product tried replacingBut Amazon didn't respondI've used my friend's fire stick and I know his firestick doesn't have these issues almost used it for a month and didn't face any problem hence I proceeded to buy one for myself but I'm disappointed got a defective product or the softwareMore disappointing thing is I can't even Replace it wow.","Reviewed in India on 8 May 2021","Best streaming device in this price 2500",4,"https://images-na.ssl-images-amazon.com/images/I/813YdL8wZsL.jpg","62","Fire TV Stick"
"R394SX0MUB0L2G","Adi","It is a really good streaming device . Apps work perfectly fine . You can sideload 3rd party app easily . Remote is fine , voice control is perfect , installation is simple , streaming quality is great.BUT WHY 1 STAR??you cannot change the volume in your Bluetooth headset or airpods which don't have its own volume control . Well i usually watch movies at night while others are sleeping so I prefer using Bluetooth headsets . Whenever I pair it with firestick It always plays at 100 percent and makes my eardrum tear and made me switch off tvThis is a basic function which can be included in a firmware upgrade , but as of 30th June , there is no update regarding this .So yes if this is important for you , u choose other streaming device .Btw i fall in love with their remote😍","Reviewed in India on 30 June 2021","You cannot control volume of your Bluetooth device",1,"https://images-na.ssl-images-amazon.com/images/I/B1RlWiO5LBS.jpg","59","Fire TV Stick"
"R3EPEM0X6X3MGB","Radhakrishnan S","I purchased the product in May 2021. It stopped functioning within one month. I requested for an replacement. The customer service execute informed me to buy another Fire Stick and will replace the one one once I purchased a new one. It is more than a week I bought a new fire stick and also informed the CC. Unfortunately there is no feedback from them. The old product was not replaced. Is it a punishment for me to buy your product and I have to pay for a faulty product. Please expedite.","Reviewed in India on 6 July 2021","Product not functioning",1,"","55","Fire TV Stick"
"R34T6TVC4U0P9C","Sandy","I ordered a fire tv stick 3rd gen 2021 during the recent Prime Fest of 26th & 27th July 2021. At the time of ordering the product detail very categorically said that there is a One Year free subscription to Sony Liv, ZEE5 & Voot bundled along with the product. This was in the description section of the product that I ordered, hitch was very promptly delivered to me. Now when I enquired with Amazon helpline about how to activate the free subscription, the customer support denied any offer like this & now I am supposed to pay separately for these subscriptions. How I wish I had taken a screen shot of this & kept with me. At least would have saved myself from the misery of being denied of what was promised to begin with. I don’t know how that promotion appeared there, could have been a technical glitch on the part of Amazon but I am sure I bought this with the subscription which is now denied. It a shame for Amazon to get so petty & completely disown the responsibility to fulfil their offer. I just feel cheated to the core.","Reviewed in India on 30 July 2021","Never thought Amazon would cheat",2,"","39","Fire TV Stick"
"R2CEIQ9VX8G13","ABHIJIT","1)While setting up device keeps getting turned off every 2 minutes.2)No sound while playing anythingAfter few hours it everything got okDevice did not switch off and sound was back.Now after 3 days same problemDevice is switching off every 2 minutes and no sound.Is there some software issue with the device or device is faulty?","Reviewed in India on 7 June 2021","Device switching off every 2 minutes and no sound",1,"","40","Fire TV Stick"
"R3L7WERHQII8V","Magesh S G","I was using LG 4K TV with WebOs 3 and i dont have recent streaming apps as it not available in my smart TVI have ordered HD Firestick 2021.My TV Supports HDR ...I would have ordered 4K but for me itseems costly..Pro:Super UIFast SettingsHDR !!Dolby Digital Plus ,Dolby audio as my TV supports only this.Connected with Yamaha AV receiver and i could able to get DD+ 7.1 from Dolby Atmos Content in amazon Prime.Sound Quality is awesome...Picture quality was fabulous as my TV supports HDR and ultra deep colour it detects and restarts tv to enable in that HDMI port...The moment i have turned on it install latest Fire Stick SWCons:Not for Device.I have logged in with my amazon account in FireTV.I could not get install the Disney+Hotstar its shows app is not availableThen i have called customer care and they helped to set my country to IN in account as i used same account in Germany(.de) as wellAfter that all india streaming apps are visibkle (voot,Hotstar+disney,SunNxt,...etc)Overall happy with purschase will update after few days of usuage!!!","Reviewed in India on 5 May 2021","Excellent Streaming Device with Picture and Sound Quality",5,"","35","Fire TV Stick"
"R19GE015L70BT8","krishna","Nothing gets displayed after fire stick logo. Blank screen came. Never expected this outcome.","Reviewed in India on 8 May 2021","Disappointment From Amazon",1,"","36","Fire TV Stick"
